书名,链接,国家,作者,翻译者,出版社,出版时间,价格,星级,评分,评价人数,简介
许三观卖血记,https://book.douban.com/subject/4760224/,中,余华 , , 作家出版社 ,2012, 24.00,4.5,9.1,110900,无
朝花夕拾,https://book.douban.com/subject/1449352/,中,鲁迅 , , 人民文学出版社 ,1973, 0.25,4.5,9,132560,在纷扰中寻出一点闲静
故事新编,https://book.douban.com/subject/2046909/,中,鲁迅 , , 人民文学出版社 ,1973, 0.31 ,4.5,9.4,32489,拾取古代传说，取一点因由，随意点染
树上的男爵,https://book.douban.com/subject/6789605/,意,伊塔洛·卡尔维诺, 吴正仪 , 译林出版社 ,2012, 30.00,4.5,9.1,45322,是不是真的只有先与人疏离，才能最终与他们在一起？
格林童话全集,https://book.douban.com/subject/1043008/,德,格林兄弟, 魏以新 , 人民文学出版社 ,1994, 21.45,4.5,9,86908,一本有教育意义的书
嫌疑人X的献身,https://book.douban.com/subject/3211779/,日,东野圭吾, 刘子倩 , 南海出版公司 ,2008, 28.00,4.5,8.9,488110,数学好是一种极致的浪漫
无人生还,https://book.douban.com/subject/3006581/,英,阿加莎・克里斯蒂, 祁阿红 , 人民文学出版社 ,2008, 19.00,4.5,9,131505,童谣杀人案
黄金时代,https://book.douban.com/subject/1089243/,中,王小波 , , 花城出版社 ,1999, 19.00,4.5,8.9,153859,我想爱，想吃，还想在一瞬间变成天上半明半暗的云
傲慢与偏见,https://book.douban.com/subject/1083428/,英,奥斯丁, 张玲 , 人民文学出版社 ,1993, 13.00,4.5,8.9,218989,所有现代言情小说的母体
中国少年儿童百科全书（全四册）,https://book.douban.com/subject/1028409/,中,林崇德 主编 , , 浙江教育出版社 ,1991, 168.00,4.5,9.4,14763,无
史记（全十册）,https://book.douban.com/subject/1077847/,中,司马迁 , , 中华书局 ,1982, 125.00,5,9.5,22162,史家之绝唱，无韵之离骚
鼠疫,https://book.douban.com/subject/24257229/,法,阿尔贝·加缪, 刘方 , 上海译文出版社 ,2013, 34.00,4.5,9.1,57157,用别样的监禁生活再现某种监禁生活，与用不存在的事表现真事同等合理
悲惨世界（上中下）,https://book.douban.com/subject/1205054/,法,雨果, 李丹 , 人民文学出版社 ,1992, 66.00,4.5,9,59230,现实主义与浪漫主义的至高杰作
历史深处的忧虑,https://book.douban.com/subject/1027191/,中,林达 , , 生活·读书·新知三联书店 ,1997, 19.00,4.5,9,42674,窥见美国社会的一扇窗
上帝掷骰子吗,https://book.douban.com/subject/1467022/,中,曹天元 , , 辽宁教育出版社 ,2006, 32.00,4.5,9.2,31281,量子物理史话
神雕侠侣,https://book.douban.com/subject/1255624/,中,金庸 , , 生活·读书·新知三联书店 ,1994, 76.80,4.5,8.9,94210,至情至性，情大于武
台北人,https://book.douban.com/subject/5337248/,中,白先勇 , , 广西师范大学出版社 ,2010, 38.00,4.5,9,59288,白先勇短篇小说集
永恒的终结,https://book.douban.com/subject/25829693/,美,艾萨克·阿西莫夫, 崔正男 , 江苏凤凰文艺出版社 ,2014, 32.00,4.5,9.1,38150,关于时间旅行的终极奥秘和恢宏构想
西游记（全二册）,https://book.douban.com/subject/1029553/,中,吴承恩 , , 人民文学出版社 ,2004, 47.20,4.5,9,76330,神魔皆有人情，精魅亦通世故
诗经,https://book.douban.com/subject/1883245/,中,孔丘 编订 , , 北京出版社 ,2006, 19.90,4.5,9.4,25113,思无邪
